Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051004002,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,74.8,74,75.5,,,3697,"(32.0005963715, -81.1016216322)",PREVENT,CHECKUP,1369000,13051004002,Annual Checkup
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003003101,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.9,4.4,5.6,,,3687,"(21.3258064243, -157.793873751)",HLTHOUT,CHD,15003,15003003101,Coronary Heart Disease
2016,GA,Georgia,Sandy Springs,City,BRFSS,Prevention,1368516,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,84.7,84.3,85.1,,,93853,"(33.9366669867, -84.3703197084)",PREVENT,PAPTEST,1368516,,Pap Smear Test
2017,GA,Georgia,Roswell,Census Tract,BRFSS,Health Outcomes,1367284-13121011410,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.8,8,9.8,,,6363,"(33.9880169272, -84.2891245228)",HLTHOUT,MHLTH,1367284,13121011410,Mental Health
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003004800,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.8,9.3,12.5,,,6707,"(21.3415691226, -157.853573613)",PREVENT,ACCESS2,15003,15003004800,Health Insurance
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Unhealthy Behaviors,1369000-13051011600,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,24.1,21.6,26.4,,,2307,"(32.0899262011, -81.1328507898)",UNHBEH,CSMOKING,1369000,13051011600,Current Smoking
2017,IL,Illinois,Arlington Heights,Census Tract,BRFSS,Prevention,1702154-17031803901,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,25,"(42.092946778, -88.0161210463)",PREVENT,ACCESS2,1702154,17031803901,Health Insurance
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001000804,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.6,3.9,5.4,,,5604,"(43.5917744712, -116.180835276)",HLTHOUT,COPD,1608830,16001000804,COPD
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003005300,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.7,22.5,24.9,,,3636,"(21.3176030175, -157.861407148)",HLTHOUT,ARTHRITIS,15003,15003005300,Arthritis
2016,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051002900,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,85.7,83.1,88,,,2986,"(32.0448983055, -81.0989529822)",PREVENT,PAPTEST,1369000,13051002900,Pap Smear Test
2017,GA,Georgia,Macon,Census Tract,BRFSS,Prevention,1349000-13021012101,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,79.5,77.1,81.4,,,1813,"(32.867877314, -83.7084580931)",PREVENT,CHOLSCREEN,1349000,13021012101,Cholesterol Screening
2016,GA,Georgia,Augusta,Census Tract,BRFSS,Prevention,1304204-13245010504,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,47.4,43.8,50.7,,,6779,"(33.4413190003, -82.0809700993)",PREVENT,DENTAL,1304204,13245010504,Dental Visit
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003004500,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,82.4,80.3,84.1,,,5145,"(21.3459838822, -157.814952428)",PREVENT,PAPTEST,15003,15003004500,Pap Smear Test
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003009802,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,34.2,33.5,34.8,,,6386,"(21.4678190627, -158.209541749)",HLTHOUT,HIGHCHOL,15003,15003009802,High Cholesterol
2016,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215001800,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,22.6,19.2,26.5,,,1272,"(32.4768765352, -84.9758274687)",PREVENT,COREM,1319000,13215001800,Core preventive services for older men
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215010301,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.4,8,11,,,2478,"(32.571655029, -85.0338001623)",HLTHOUT,PHLTH,1319000,13215010301,Physical Health
